id,desc_en
0,"■Report from a reader of this site: The report states that the toilet is ""probably available 24 hours,"" but the shutter was closed at night and it was unusable. I don't know the exact time, but it was unusable from around 7 PM to 7 AM. Please correct this. (Submitted: June 2026, Mr. T)
■Detailed map and photo of the toilet 🚻. (On-site survey, July 2025)
■Report from a reader of this site: I stayed overnight in my car at Fureai Hiroba, located behind the old Samani Station. The toilet is right in front and I think it's probably available 24 hours. There's a convenience store within a 5-minute walk. I was able to spend a very quiet night. The closest bath is at Apoi Sanso in town. (Submitted: December 2021, Mr. T)"
1,"■Report from a reader of this site: Business details, 600 yen, 10:00-21:00, closed on Mondays, cafeteria/rest area is outside the reception. Soap etc. are not provided. (Submitted by: n, June 2026)"
2,"■850 yen, details
■Report from our site's reader: Business details, 850 yen, 11:30-21:00, cafeteria and rest area available inside the reception area. (Submitted by: n, June 2026)"
3,"■Day-use bathing: 1000 yen on weekends, details
■Report from a reader of this site: Business details, 1000 yen on weekends and holidays, 850 yen on weekdays, 11:00-20:00, rest area available inside the reception area. (Submitted by: n, June 2026)"
4,"■Scheduled to open in 2030. Planned to merge with the roadside station ""Ehon no Sato Kenbuchi"" to become a highway oasis. Details"
5,■Scheduled to open in March 2030. The mark indicates the approximate location. Image of the planned completion.
6,■Scheduled to open in 2029. The mark indicates the approximate location. Image of the planned completion.
7,"■Scheduled to open in 2027. Completion image.
■Report from a reader of this site: Scheduled to open in 2027. Located along National Route 276, with an attached hot spring facility. Details, details (Posted by: Mr./Ms. N, November 2025)"
8,"■Scheduled to open in 2027. Completion image shown.
■Report from our website reader: Scheduled to open in 2027, details, details (Submitted by: n, January 2026)"
9,■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in August 2025)
10,"■Business Details
■Runtime stayed overnight in his car here. Entrance fee: 750 yen per person + site fee: 3110 yen (with power). Quite expensive. The fee for overnight parking in the parking lot is unknown. Showers 🚿 and coin laundry available. Details"
11,"■Report from our website reader: The restaurant that originated Obihiro's famous ""Chuka Chirashi"" (Chinese-style rice bowl). Tabelog, details (Posted by: n, May 2026)"
12,"■Bath♨️: Yamahana Onsen Refle, 680 yen, details
■Report from our site's reader: Regarding Yamahana Onsen Refle, business details, 680 yen, 10:00-21:00, dining hall and rest area available. (Submitted: May 2026, by n)
■Free parking and public toilets. Confirmed not to be closed at night. The toilets (details) are quite old, Western-style pit toilets, and naturally smelly. Cell phone reception is OK. There is a paid campsite further back. (Confirmed on-site by administrator in August 2023)"
13,"■Bathing♨️: Takikawa Fureai no Sato, 630 yen, details
■Report from our site's reader: About Takikawa Campsite. Business details, car site: 4000 yen on the day before a holiday, 3600 yen on a holiday, 2000 yen on a weekday. There is a hot spring ""Takikawa Fureai no Sato"" nearby. (Posted: May 2026, by n)
■Report from our site's reader: 630 yen, 8:00-22:00, there is a cafeteria and rest room inside the reception area. Details (Posted: December 2024, by n)"
14,"■ An inexpensive campsite at 500 yen per person 🏕️. Price details
■ Bathing ♨️: Kitoshi no Mori Kitoron, 1000 yen, details
■ Reader report: A beautiful campsite; 300 yen per person for overnight stays in a car. Use of the grass site is free, and you can also pitch a tarp. As it's a campsite, cooking facilities and toilets are available! Details (older post from before 2019)
■ The entrance to this park is closed at night, so unauthorized overnight stays in cars are not permitted (on the other hand, it's quiet because it's closed). There's also a coin laundry. (older post from before 2019)"
15,"■900 yen, details
■Report from a reader of this site: Business details, 900 yen, 10:00-21:00, cafeteria and rest room available inside the reception area. (Submitted by: n, May 2026)"
16,"■Report from a reader of this site: Business details, 1000 yen, 10:00-22:00, closed Wednesdays, cafeteria and rest room available inside the reception area. (Submitted by: n, May 2026)"
17,"■Report from our site's reader: From 4000 yen, power outlets available (details). Nearby is ""Mori no Yu Hanakagura"". (Submitted by: n, May 2026)"
18,Day trip bathing: 800 yen. Details available. Japan Association for the Preservation of Hidden Hot Springs.
19,Payment is a small token of appreciation. Details
20,It's free! I don't understand. (LOL) Details
21,"■July 2024 Administrator's On-Site Verification: Car Camping Rating [Rank B] ​​69 points 👉️Click here for photos and detailed map of the site
■Report from a Reader of This Site: I recently visited Takadomari Nature Park, but as of May 7th, after Golden Week, the toilets were still closed for winter (see attached image). The cooking area was also unusable... It seems best to check with Fukagawa City before using the park in early spring. There were no other users, and it was a very quiet and nice place. Indeed...it was in the middle of the mountains, so wild that it wouldn't be surprising to encounter a bear lol (Posted: May 2026, by Kita no Bug Tracker)
■Free Campsite. Details (Older posts from before 2019)"
22,■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in September 2025)
23,■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in September 2025)
24,■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in September 2025)
25,"■Report from a reader of this site: Business details: 1400 yen on weekends and holidays, 1300 yen on weekdays. 10:00 AM - 11:00 PM. There is a rest area and restaurant inside the reception area. (Submitted by: n, May 2026)"
26,"■Report from a reader of this site: Business details: 1200 yen on weekends and holidays, 1000 yen on weekdays. 9:00 AM - 10:00 PM. There is a rest area inside the reception area and a restaurant outside. (Submitted by: n, May 2026)"
27,"■Detailed map and photos of the toilets 🚻. Overnight parking is permitted. (Survey conducted in September 2024)
■Bathing ♨️: Day-use bathing is available at the nearby hot spring resort ♨️. Try searching for day-use bathing options."
28,"■Closed since 2025 for major construction.

■Free campsite with clean toilets. However, the road from the parking lot to the campsite is narrow and impassable by car. If you camp, you will need to carry your equipment by hand for about 150m. Camping is very inconvenient, so sleeping in your car is a better option. It's quiet and a good place for sleeping in your car. (The toilets are far away though.) (Older post from before 2019)"
29,"■Report from our site's reader: There are toilets (closed during winter), a large parking lot, and playground equipment. Other carriers are unknown, but Docomo's signal is weak. There is free Wi-Fi provided by Shiranuka Town that covers the entire parking area, so it can be used. Farmhouses and properties are adjacent, so some consideration is needed. (Submitted by: Giants Fan, April 2026)"
30,"■ Overnight stays in vehicles are permitted for 500 yen per vehicle. Details of fees apply.
■ Bathing ♨️: Bathing is available at the ""Yoshino District Revitalization Center"" (hot spring ♨️), 300 yen. Details.
■ Report from a reader of this site: This is the parking lot at Yoshino Park Campground. It's incredibly cheap here: 500 yen per tent and 500 yen per campervan. It's also available at night. When using the facilities, please register at the Yoshino District Revitalization Center across the street. There's also a bathing facility (small, but...) that you can use for 300 yen! Bathing facility: Available days: Tuesday, Wednesday, Saturday, Sunday. Hours: October-May: 3 PM - 7 PM. June-September: 2 PM - 9 PM. Usage fee: As a cleaning cooperation fee, 300 yen for adults, 200 yen for junior high school students and younger. (Note) Soap and towels are not provided, so please bring your own. ...However, rinse-in shampoo and body soap are provided courtesy of the center. Bringing your own towel is essential! The toilets do not have bidets, but they are relatively clean. Toilet paper is also provided. They can be used at night. There is also a cooking area next to the toilet entrance. Opening period: Late April (after snow melts) to late October (In 2025, check-out was from April 29th to October 31st). Usage time: Check-in 13:00 to check-out 10:00. How to use: No reservation required. If checking in on Tuesday, Wednesday, Saturday, or Sunday: After arrival, please register at the facility across from the campsite (Yoshino District Revitalization Center). If you arrive before the Yoshino District Revitalization Center opens, please register after the center opens. (You can use the campsite even before registration if it is after 13:00.) ▼Opening hours of the Yoshino District Revitalization Center: April-May, October: from 15:00. June-September: from 14:00. If checking in on Monday, Thursday, or Friday, the facility manager will come to collect payment in the evening of that day or the morning of the following day. <Inquiries> Yoshino District Revitalization Center Tel: 0125-73-2632 (From Shintotsukawa HP) This is one of my favorite places that I always use at least once a season. You can use the bath and stay overnight for only ¥800, and if you avoid the high season, it's quiet and comfortable both day and night! Spring and autumn seasons are recommended. There is nothing around. Only the center and post office...no convenience stores, but there is a Coca-Cola vending machine at the entrance of the center. (Posted by Kita no Bug Tracker, April 2026)"
31,"■Report from a reader of this site: 120 minutes (without towel) Weekdays 900 yen, Weekends/Holidays 1100 yen; Free time (with towel) Weekdays 1300 yen, Weekends/Holidays 1500 yen; 6:00-22:00; Cafeteria and rest room available inside the reception area. Details (Posted by: n, April 2026)"
32,"■Report from our website reader: 700 yen, 10:00-22:00, cafeteria and rest area available inside the reception area. Details (Posted by: n, April 2026)"
33,"■Report from our website reader: 600 yen, 10:00-20:00, rest room available. Details (Posted by: n, April 2026)"
34,"■ August 2025 Administrator's On-site Inspection: Overnight Parking Rating [B Rank] 64 points 👉️ Click here for photos and detailed map of the site
■ Report from our site's reader: Due to the absence of the administrator, only the toilet and parking lot will be available for use from April 2026 until further notice. Details (Posted: April 2026, by n)
■ Report from our site's reader: Sign prohibiting overnight parking is posted, image (Posted: June 2025, by s)
■ Opened March 27, 2015!"
35,"■510 yen, details.

■Report from our site's reader: Used on a weekday in July 2023. After enjoying deer jingisukan (grilled lamb) and a rare hot spring with petroleum components here, I headed to Wakkanai. There are hot springs for general customers and for therapeutic bathers (lower water temperature), but you can use either. However, it might be a bit strong for people who don't like the smell of petroleum. (Posted: July 2023, by n)

■A very rare hot spring with a faint smell of petroleum. Free-flowing hot spring water. Rest room available. There are power outlets in the rest room where you can charge your PC. Cold water and tea are available. The jingisukan at the restaurant is very delicious and highly recommended."
